424,1895,531,1898,530,1935,423,1932,0.6111166
175,1895,283,1895,283,1936,175,1936,0.70444924
365,1898,403,1898,403,1927,365,1927,0.4649591
301,1897,376,1893,378,1928,303,1933,0.5626072
437,1854,608,1852,609,1884,438,1886,0.5127592
644,1856,792,1848,794,1883,646,1892,0.40887728
213,1851,326,1851,326,1882,213,1882,0.61903214
332,1849,431,1851,430,1880,331,1878,0.6055136
102,1842,190,1842,190,1880,102,1880,0.6876739
396,1809,432,1807,434,1827,397,1830,0.4153437
528,1802,583,1802,583,1837,528,1837,0.7133547
304,1804,368,1804,368,1832,304,1832,0.54661995
703,1799,778,1797,779,1836,705,1838,0.6215963
600,1798,690,1798,690,1838,600,1838,0.7419762
110,1795,190,1795,190,1828,110,1828,0.76686686
710,1712,778,1710,778,1740,711,1742,0.73987913
605,1709,689,1710,688,1740,605,1738,0.8155404
387,1712,403,1712,403,1728,387,1728,0.42133027
536,1704,582,1704,582,1730,536,1730,0.7857031
426,1698,513,1700,512,1738,425,1737,0.74810135
263,1699,338,1704,335,1733,261,1728,0.52179027
176,1693,247,1695,245,1734,175,1732,0.7303841
440,1662,469,1662,469,1675,440,1675,0.48020276
357,1658,405,1660,404,1678,356,1675,0.4578284
639,1651,725,1651,725,1683,639,1683,0.7294298
491,1653,547,1649,549,1681,494,1685,0.58878344
537,1552,604,1552,604,1579,537,1579,0.611512
265,1549,339,1549,339,1588,265,1588,0.7610638
188,1553,236,1553,236,1575,188,1575,0.55937886
446,1543,511,1552,506,1586,441,1577,0.50417304
598,1508,623,1508,623,1525,598,1525,0.44766352
460,1507,517,1507,517,1526,460,1526,0.48180988
357,1508,389,1508,389,1523,357,1523,0.41153282
635,1504,771,1501,772,1535,636,1538,0.42735216
247,1505,309,1506,308,1523,247,1521,0.40760425
221,1504,253,1504,253,1519,221,1519,0.4105481
321,1450,402,1450,402,1489,321,1489,0.77066594
568,1452,619,1452,619,1481,568,1481,0.7848381
476,1451,548,1445,550,1478,478,1484,0.669042
512,1396,590,1396,590,1435,512,1435,0.7594545
422,1393,502,1393,502,1435,422,1435,0.7561147
311,1391,409,1391,409,1430,311,1430,0.57924956
248,1354,304,1354,304,1376,248,1376,0.42652556
362,1343,777,1347,777,1389,362,1385,0.4893021
90,1348,214,1348,214,1378,90,1378,0.46259612
707,1301,769,1309,765,1343,703,1335,0.5581064
689,1111,789,1114,787,1183,687,1180,0.60919213
698,915,798,912,800,958,700,961,0.66693485
262,919,307,912,311,943,267,949,0.49404052
163,912,242,911,243,943,163,945,0.6905212
708,820,779,820,779,851,708,851,0.6539741
338,818,396,818,396,846,338,846,0.5371219
101,811,174,813,173,847,100,845,0.64007205
725,774,760,774,760,796,725,796,0.50185
659,770,738,770,738,802,659,802,0.61650085
472,765,632,765,632,801,472,801,0.4884365
93,761,267,763,267,794,93,792,0.4893769
251,657,272,657,272,671,251,671,0.5679846
334,639,356,650,348,667,326,656,0.50771797
531,533,662,533,662,566,531,566,0.6452025
390,532,465,529,466,559,392,562,0.56451535
309,531,362,528,364,560,311,563,0.6173522
452,530,507,530,507,559,452,559,0.52619034
578,488,612,491,610,513,576,510,0.47511083
450,483,543,479,545,528,452,532,0.62894315
686,483,740,483,740,522,686,522,0.71233547
240,480,327,482,326,523,239,521,0.4245498
459,381,561,381,561,418,459,418,0.60541165
284,382,372,382,372,414,284,414,0.570471
368,376,437,376,437,416,368,416,0.60082036
